Name,Amount,Company,Department,Country
Joyce Bryant,178.49,Nolan-Bartell,Toys,Poland
Samuel Richardson,295.56,Brekke-Wiza,Outdoors,Czech Republic
Shawn Richardson,395.72,Glover Inc,Toys,Tanzania
Patrick Garrett,308.32,Murray-Marks,Music,Yemen
Harry Crawford,238.91,Pagac Group,Industrial,Russia
Donald Phillips,213.87,Beer Inc,Jewelery,Morocco
Alan Franklin,286.32,"Fadel, Hackett and Reichert",Movies,Hungary
Gregory Castillo,124.3,"Koch, Kozey and Keeling",Shoes,Colombia
Fred Weaver,164.27,"D'Amore, Hamill and Schmitt",Industrial,Bosnia and Herzegovina
Walter Fernandez,201.8,"VonRueden, Romaguera and Jast",Books,Botswana
George Gibson,369.77,Hettinger-Crona,Outdoors,Russia
Annie Schmidt,294.41,Gusikowski Group,Garden,Philippines
Marie Hansen,29.13,West and Sons,Beauty,Philippines
Phyllis Alvarez,382.07,Osinski-Kub,Beauty,Honduras
Philip Little,239.41,"Nader, Anderson and Schiller",Automotive,Morocco
Teresa Washington,171.42,"Hauck, O'Connell and Denesik",Jewelery,China
Ashley Andrews,185.83,Harber Inc,Music,United States
David Kennedy,371.67,Zemlak-Balistreri,Outdoors,Kazakhstan
Maria Jordan,53.98,Shanahan Inc,Kids,Croatia
Judith Hunt,180.54,"Stracke, Collier and Kirlin",Outdoors,Argentina
Aaron Smith,223.9,Conn and Sons,Toys,Uganda
Tammy Bryant,107.22,Strosin Inc,Grocery,Brazil
Raymond Wallace,349.87,Mann-Jerde,Grocery,Canada
Katherine Wheeler,155.47,Jakubowski-Russel,Toys,Indonesia
Linda Rodriguez,365.59,O'Connell-Klocko,Toys,Japan
Christina Adams,347.93,Reynolds and Sons,Garden,Poland
Sara Murray,67.01,Beer-Rogahn,Garden,Poland
Julie Perry,112.9,Kilback-Parisian,Electronics,Nepal
Dennis Roberts,0.53,Lang-Walker,Industrial,Venezuela
Dennis Reynolds,39.42,Gleichner-Grant,Beauty,Afghanistan
Cynthia Simmons,225.32,Padberg and Sons,Outdoors,Venezuela
Helen Armstrong,88.56,"Trantow, Blick and Watsica",Automotive,Indonesia
Alan Garrett,283.52,"Schamberger, Bruen and Krajcik",Garden,Guatemala
Rose Snyder,66.59,"Mueller, Vandervort and Leffler",Kids,Indonesia
Margaret Harrison,248.8,Ziemann-Keeling,Games,Palestinian Territory
Edward Bowman,192.15,"Russel, Maggio and Klein",Baby,Mongolia
Beverly Bennett,1.12,Harber and Sons,Health,Syria
Dennis Chavez,129.41,Cormier-Herman,Tools,Portugal
Christina Lynch,169.19,DuBuque and Sons,Outdoors,Poland
Walter Riley,63.03,"Labadie, Blick and Sipes",Kids,France
Gloria Howard,373.06,Hauck-Gleason,Kids,Brazil
Craig Ray,193.78,Gerhold LLC,Books,Mali
Diane Kelly,186.36,Bashirian-Lockman,Electronics,Norway
Juan Reyes,326.46,Mosciski and Sons,Computers,China
Dennis Lewis,287.86,Cruickshank LLC,Grocery,Poland
Andrew Bowman,54.82,Rempel-Kirlin,Kids,Indonesia
Louis Lynch,341.3,"Langworth, Wilkinson and Rogahn",Automotive,Thailand
Nicole Perkins,233.56,"McClure, Bartell and Quitzon",Automotive,Mozambique
Gloria Mitchell,323.32,Glover and Sons,Electronics,Russia
Todd Lewis,182.5,Stiedemann Inc,Home,Russia
Eugene Hernandez,64.2,Kunde and Sons,Beauty,China
Arthur Black,239.01,"Leffler, Grady and Hudson",Movies,France
Todd Sims,204.88,"Conn, Lueilwitz and Daniel",Games,Central African Republic
Dennis Williams,263.02,"Sauer, Fadel and Feil",Health,Zambia
Andrew Harvey,134.32,Feest-Pouros,Tools,Japan
Ruby Ferguson,230.9,Daugherty Group,Games,Laos
Joseph Simpson,32.26,Johns-Spinka,Outdoors,Cuba
Phyllis Knight,380.57,"White, Goyette and Goyette",Movies,Cameroon
Christine Bryant,72.27,"Vandervort, Crist and Hoeger",Outdoors,Russia
Helen Thompson,85.97,Adams Group,Sports,Latvia
Antonio Perez,331.64,Kub-Cole,Electronics,Ukraine
Brandon Peterson,46.17,"Grant, Spinka and Collins",Grocery,Dominican Republic
Joyce Ramos,119.95,Wiza and Sons,Books,Colombia
Kelly Gilbert,388.86,Robel-Torphy,Tools,China
Ralph Hansen,6.57,Rice Inc,Electronics,Czech Republic
Teresa Wells,37.13,Hodkiewicz Group,Automotive,Ukraine
Gerald Wagner,183.24,Bechtelar-Schmitt,Movies,Canada
Sarah Fields,271.72,Jast Group,Tools,China
Rachel Bennett,333.11,Shields Group,Grocery,Colombia
Henry Oliver,30.94,Greenholt-Hintz,Kids,Brazil
Kevin Simpson,37.5,Conn-Fisher,Garden,Kazakhstan
Brandon Ford,170.62,Goldner LLC,Books,China
Patricia Armstrong,288.01,"Connelly, Boehm and Nikolaus",Clothing,Serbia
Mark Castillo,198.25,Kuhn-Gutkowski,Outdoors,Netherlands
Frank Ward,317.95,"Stokes, Nienow and Boehm",Jewelery,China
Evelyn King,359.24,Adams-Oberbrunner,Kids,Brazil
Kevin Morgan,76.06,Brown-Schumm,Electronics,Indonesia
Kenneth Lawrence,396.74,Herzog LLC,Outdoors,South Africa
Angela Chavez,316.28,Ledner and Sons,Electronics,Peru
William Mcdonald,67.89,Parisian Inc,Jewelery,Indonesia
Earl Lynch,341.98,Hackett-Watsica,Outdoors,Croatia
Martin Berry,137.78,Marks-Nolan,Garden,Vietnam
Ann Elliott,143.62,"Wintheiser, Considine and Schmeler",Kids,Costa Rica
Mark Sanchez,246.68,Goodwin LLC,Home,Peru
Donna Fields,49.49,"Larson, Brakus and Reilly",Shoes,United States
Helen Hanson,287.45,Bins and Sons,Home,Sweden
Mark Oliver,234.17,Legros Inc,Shoes,Indonesia
Ashley Simmons,295.04,Borer-Osinski,Clothing,Poland
Keith Armstrong,352.79,Mueller Inc,Health,Peru
Doris Chavez,343.88,"Collins, Langosh and Hartmann",Automotive,Poland
Bruce Mitchell,169.53,"Morissette, Spencer and Torp",Industrial,Netherlands
Joshua Green,184.17,"Graham, Marquardt and Schuster",Sports,Dominican Republic
Jerry Ford,164.91,Berge-Reichel,Kids,Sweden
Wanda Sims,250.02,"Roberts, Conn and Murray",Home,Philippines
Lois Matthews,120.47,Halvorson Group,Jewelery,Sweden
Martin Gibson,333.44,Jakubowski-Smitham,Jewelery,Macedonia
Rebecca Warren,179.53,Cormier-Stokes,Sports,Finland
Wayne Martinez,97.66,"Dare, Dooley and Buckridge",Toys,Ivory Coast
Doris Hughes,379.9,Windler-Schultz,Outdoors,China
Ruby Freeman,268.54,Hilpert-Stoltenberg,Garden,Indonesia
Laura Burns,317,Morissette-Schmitt,Grocery,China
Christine Martin,198.3,Armstrong Inc,Baby,Russia
Anthony Walker,231.16,Hintz-Veum,Toys,Portugal
Judith Richardson,24.79,Hammes-Botsford,Health,Brazil
Timothy Payne,98.58,"Howe, Kozey and Franecki",Garden,Russia
Peter Garcia,145.1,"Mohr, Klein and Ebert",Home,Indonesia
Stephen Berry,152.98,"Ernser, Gorczany and Ratke",Kids,Canada
Doris Nguyen,159.89,"Kerluke, McGlynn and Nader",Kids,North Korea
Shawn Simmons,386.84,Zulauf-Zieme,Home,Philippines
Andrea Cook,89.52,"Jakubowski, Bernier and Bernhard",Movies,Vietnam
Anne Nichols,55.76,"Macejkovic, Weber and Ondricka",Outdoors,Thailand
John Washington,151.58,"Hermann, Shields and Bosco",Sports,China
Jessica Hart,356.72,Beahan LLC,Grocery,Portugal
Kathy Edwards,78.49,Goyette-Greenfelder,Outdoors,Germany
John Meyer,158.11,"Murphy, Anderson and Waters",Books,China
Phyllis Cruz,390.98,Mante Inc,Health,Honduras
Bonnie Griffin,53.98,Hyatt Inc,Health,New Zealand
William Fisher,141.38,Friesen-Marquardt,Tools,Indonesia
Christine Dixon,112.96,Collins Group,Automotive,Indonesia
Walter Howard,337.89,Boyer Group,Grocery,China
Anna Diaz,386.23,"Stark, Nolan and Weber",Tools,Mozambique
Norma Fields,37.29,Corwin LLC,Electronics,Lebanon
Thomas Palmer,203.84,Jacobs-Jones,Baby,Sri Lanka
Benjamin James,243.76,Gutkowski-Kuphal,Games,France
Daniel Bradley,90.18,Lindgren-Boehm,Industrial,Portugal
Joan Scott,194.14,Jacobs Inc,Beauty,Angola
Mildred Stanley,245.01,Yost Group,Beauty,Philippines
Paul Perez,294.94,Willms-Rohan,Games,Brazil
Frank Jones,162.22,Walsh-Lang,Shoes,Canada
Jimmy Russell,176.27,"Klocko, Carroll and Gutmann",Beauty,Pakistan
Mildred Ramirez,136.81,MacGyver Group,Computers,Finland
Louis Hansen,296.2,"Harvey, Jerde and Blick",Games,China
Anne Simpson,323.18,Wehner-Haag,Music,Indonesia
Janet Cunningham,393.91,Kihn LLC,Tools,China
Phillip Tucker,121.58,Marvin Inc,Games,China
Antonio Freeman,242.55,Dach-Bernhard,Beauty,China
Jeremy Welch,379.38,Kassulke-Schaefer,Baby,Indonesia
Clarence Castillo,198.68,Mayer LLC,Movies,Japan
Jeffrey Warren,387.54,"Bins, Rowe and Dicki",Grocery,China
Emily Mason,304.38,Halvorson-Harris,Automotive,United States
Ryan Kennedy,283.46,Green-McGlynn,Games,Colombia
Elizabeth Perkins,150.18,Funk and Sons,Clothing,Brazil
Harold Graham,360.49,Shanahan Inc,Grocery,Greece
Wayne Bell,354.02,Carter-Walsh,Shoes,Ecuador
Gary Green,34.99,"Flatley, Klein and Ledner",Home,Moldova
Joe Cole,354.02,Lebsack-Littel,Industrial,Russia
Harold Cooper,245.84,Morissette LLC,Garden,Belarus
Dennis Hart,302.27,"Christiansen, Morissette and Trantow",Health,China
Kevin Fields,374.14,"Smith, Schuppe and Murazik",Movies,Ukraine
Jeffrey Gomez,39.08,Aufderhar-Welch,Kids,Indonesia
Sean Larson,253.68,Raynor-Schimmel,Baby,Estonia
Scott Price,2.63,Pagac LLC,Baby,Canada
Ann Hawkins,197.15,"Abshire, Cassin and Grady",Sports,Philippines
Adam Willis,378.2,Champlin Group,Health,Finland
Mildred Simmons,92.95,"Vandervort, Frami and Macejkovic",Tools,China
Carol Hansen,223.42,"Reichert, Durgan and Gerlach",Grocery,Kenya
Janet Jones,67.32,Orn-Littel,Shoes,Iran
Victor Jacobs,270.06,Halvorson Inc,Shoes,Rwanda
Jack Ward,5.12,"Champlin, Conroy and Medhurst",Toys,Brazil
Justin Robinson,230.84,"Cummerata, Mayer and Kuhlman",Games,Canada
David Watkins,379.48,"Kihn, Mohr and Lynch",Movies,Costa Rica
Kathryn Roberts,212.84,"Kuvalis, Jakubowski and Moore",Automotive,Armenia
Larry Fernandez,267.59,"Huels, Conn and Kirlin",Toys,Philippines
Anna Chapman,15.66,"Towne, Marquardt and Thiel",Jewelery,China
Raymond Larson,171.46,Yundt-Schinner,Tools,Tunisia
Anna West,369.83,Homenick-Boehm,Clothing,Portugal
James Burton,71.16,Batz-Howell,Grocery,Kenya
Anne Spencer,120.09,"Schinner, Quitzon and Blick",Sports,Brazil
Norma Harvey,177.79,"Lakin, Williamson and Vandervort",Electronics,Indonesia
Kimberly Cruz,366.35,Wintheiser-Haag,Kids,Portugal
Kenneth Jordan,238.45,Stamm-Kautzer,Books,Zambia
Joyce Diaz,153.9,Reinger Group,Toys,Egypt
Benjamin Wells,209.78,DuBuque Inc,Garden,China
Gerald Payne,64.51,Weissnat-Krajcik,Sports,Saudi Arabia
Emily Carpenter,101.61,Will LLC,Electronics,Japan
Frank Hunt,376.12,Schulist Group,Home,Indonesia
Peter Frazier,207.76,Senger-Cormier,Music,Brazil
Peter Gonzales,298.68,"Jacobi, Gaylord and Ward",Grocery,Colombia
Tammy Austin,165.08,Stoltenberg-Wintheiser,Books,Chile
Susan Green,19.98,Feest Inc,Shoes,Iraq
Rose Cruz,40.69,"Hoppe, Dickinson and Kunde",Books,Cyprus
Brenda Phillips,147.22,Hegmann Inc,Clothing,France
Sharon Hayes,222.12,"Kuhic, Weissnat and Boehm",Jewelery,Indonesia
Henry Ford,158.12,"Mayer, Russel and Ruecker",Health,Mongolia
Earl Hart,84.73,Gleichner Inc,Movies,Cyprus
Dorothy Dean,222.99,Skiles-Herman,Kids,Norway
Bruce Dunn,369.08,Funk LLC,Grocery,Thailand
Louis Vasquez,324.29,Howell and Sons,Games,Indonesia
Adam Harvey,58.53,Skiles Inc,Automotive,Sweden
Denise Gardner,286.57,Mayert and Sons,Baby,Brazil
Paula Bishop,148.63,"Effertz, Ebert and Moen",Grocery,France
Arthur Hernandez,374.14,Kshlerin-Bergnaum,Outdoors,Cyprus
Aaron Porter,254.02,O'Hara and Sons,Grocery,Indonesia
Paul Jordan,273.72,Rogahn-Strosin,Automotive,Indonesia
Janet Bishop,42.29,Kilback-Hagenes,Beauty,Slovenia
Elizabeth Williams,245.28,"Harvey, Quigley and Harvey",Electronics,Poland
Raymond Watson,83.19,"Hane, Bergnaum and Mante",Kids,Philippines
Benjamin Wells,166.69,Gusikowski-Rau,Industrial,Tanzania
Ralph Turner,126.05,Nikolaus LLC,Home,Philippines
Chris Shaw,259.58,"McKenzie, Ortiz and McClure",Industrial,Philippines
Brenda Mccoy,83.31,Howell LLC,Grocery,Papua New Guinea
Eric Medina,300.69,Cronin Inc,Automotive,Macedonia
Mark Johnson,116.89,"Schneider, Kunde and Hessel",Tools,Ukraine
Henry Carter,349.26,Erdman-Hessel,Shoes,Ireland
William Stanley,246.4,Fritsch-Rolfson,Garden,Morocco
Benjamin Hughes,164.27,Hamill Group,Music,Saudi Arabia
Arthur Lewis,190.55,Jenkins LLC,Games,Morocco
Louis Walker,181.84,"Conroy, Labadie and Nikolaus",Automotive,Mauritius
Alice Brown,258.19,"Huel, Bergnaum and Stamm",Clothing,China
David Bell,328.33,"Yundt, Rempel and Rosenbaum",Computers,Philippines
Nancy Jackson,73.53,Wilderman Inc,Movies,Russia
Shirley Freeman,394.16,Hilpert-Orn,Movies,China
Irene Stevens,286.75,Bayer-Crooks,Tools,China
Nancy Murphy,266.65,"Kuhlman, Dicki and Bailey",Grocery,Russia
Harry Freeman,83.64,Miller-Padberg,Games,Venezuela
Diane Taylor,11.47,Williamson Group,Health,United States
Douglas Hughes,372.45,Waters-Little,Home,Nigeria
Martin Long,287.89,"Stoltenberg, Hodkiewicz and Hammes",Industrial,Indonesia
Anne Ray,272.65,"Leffler, Ziemann and Dickinson",Garden,Greece
Ryan Rodriguez,0.66,Mueller LLC,Games,Argentina
Anne Gibson,326.21,"Morar, Padberg and Ruecker",Music,Thailand
Judith Foster,349.94,"Turcotte, Osinski and Torphy",Clothing,Nauru
Roy Cox,320.82,Hickle-Hand,Beauty,Honduras
Patricia Myers,349.59,Dare-Wiza,Tools,Poland
Cheryl Russell,364.54,"Fadel, O'Connell and Lueilwitz",Books,Cyprus
Theresa Fernandez,35,Donnelly-Hamill,Toys,Afghanistan
Phyllis Sullivan,398.53,Cormier LLC,Music,Philippines
Pamela Gonzales,141.81,Abshire and Sons,Electronics,Norway
Tina Jones,48.99,"Mohr, Funk and Beier",Automotive,Belarus
Justin Medina,148.69,"Greenfelder, Sauer and Brakus",Health,Indonesia
Willie Watkins,158.68,Weissnat-Kuvalis,Baby,Nigeria
Linda Garcia,107.21,Schmidt-Armstrong,Beauty,Tanzania
Jerry Andrews,85.94,Keeling-Treutel,Sports,Libya
Lois Hill,208.96,"Adams, Williamson and Dooley",Games,Madagascar
Melissa Long,171.21,White Inc,Jewelery,China
Jacqueline Gibson,111.88,Schmidt LLC,Kids,France
Shirley Webb,326.1,Mante-Senger,Beauty,Indonesia
Steve Dixon,361.34,Bosco Inc,Beauty,Panama
Bonnie Wells,328.62,Lowe-Bernhard,Music,Liberia
Eric Young,145.32,Cremin-Ullrich,Jewelery,Nigeria
Julia Ford,367.05,Hills LLC,Grocery,United States
Willie Matthews,234.23,"Koch, Langosh and Rodriguez",Automotive,Philippines
Ashley Evans,271.66,Boehm Group,Home,Georgia
Keith Campbell,77.75,Bernier Group,Grocery,Uzbekistan
Nancy Murphy,224.81,"Gorczany, Boyer and Ratke",Electronics,Thailand
Betty Kelly,371.77,Doyle-Schmeler,Automotive,Palestinian Territory
Arthur Patterson,116.79,"Hagenes, McDermott and Witting",Health,Philippines
Johnny Martin,81.34,Williamson-Von,Garden,Nigeria
Peter Fox,30.59,Pfeffer and Sons,Games,China
Jesse Ferguson,228.57,Doyle-Macejkovic,Beauty,Nicaragua
Brenda Carter,365.91,Dietrich and Sons,Books,Brazil
Jean Garrett,27.8,"Hettinger, Aufderhar and Grant",Sports,Iran
Justin Day,138.32,Runolfsdottir Group,Shoes,Indonesia
Evelyn Welch,325.98,Carter Inc,Grocery,Portugal
Jacqueline Webb,274.83,Rau-Renner,Kids,Morocco
Barbara Hughes,73.13,Schmidt-Nikolaus,Beauty,Portugal
Chris Johnston,334.12,"Murray, Homenick and Leuschke",Baby,Sweden
Clarence Olson,135,Daugherty Inc,Tools,Philippines
Julia Rice,57.02,Abbott-Reilly,Movies,Vietnam
Harold Gonzales,200.7,Wisoky-Hegmann,Toys,China
Alice Jackson,52.6,"Zieme, Goldner and Bashirian",Music,Peru
Aaron Peterson,216.44,Erdman-Thompson,Sports,Comoros
Johnny Miller,123.93,Mante Inc,Health,Indonesia
Jason Jackson,306.03,Lehner-Hamill,Baby,Finland
Jane Hunter,331.95,Boyle-Cummerata,Clothing,Pakistan
Charles Peters,237.54,"Strosin, Keebler and Brakus",Baby,Honduras
Patricia Olson,305.17,Pagac-Huel,Outdoors,Thailand
Terry Wagner,236.8,"Schuppe, O'Hara and Heller",Toys,Haiti
Ann James,296.53,"Hodkiewicz, Schuppe and Hermiston",Movies,Uruguay
Judy Robertson,92.74,O'Reilly-Keebler,Books,Vietnam
Sean Vasquez,188.33,"Feest, Walsh and Larson",Electronics,Mexico
Jean Freeman,277.56,"Bosco, Blanda and Goodwin",Baby,United States
Carol Simpson,360.24,Crona Group,Books,Poland
Jane Chavez,274.62,"Grady, Lehner and Labadie",Baby,Cyprus
Richard Rose,312.54,Torp-Schaefer,Shoes,Cameroon
Evelyn Little,370.05,Schumm Group,Grocery,China
Roy Baker,199.19,"Dickens, Macejkovic and Tremblay",Industrial,Indonesia
Michelle Warren,391.66,Walker-Pfeffer,Beauty,Tanzania
Carlos King,248.27,Reichert Inc,Sports,Portugal
Andrea Kelly,155.05,Klein-Hahn,Garden,Greece
Anne Cooper,65.91,Smitham-Berge,Electronics,Peru
Robert West,264.33,"Ward, Bailey and Howe",Jewelery,China
Albert Miller,263.05,Stokes-Shanahan,Industrial,China
Eugene Elliott,106.63,Little-Little,Computers,China
Brandon Miller,159.05,"Wintheiser, Hilll and Gorczany",Toys,China
Kelly Ruiz,176.49,"Harris, Flatley and Streich",Home,China
Rachel Edwards,248.95,Nicolas Group,Shoes,Indonesia
Kathy Mills,271.33,Bins-Bechtelar,Baby,China
